iter	Logloss
0	0.6871854224
1	0.6809083716
2	0.6760024932
3	0.6695000499
4	0.6625844929
5	0.6565818789
6	0.6503498873
7	0.6452647364
8	0.6394521719
9	0.6337576426
10	0.627718659
11	0.6224222469
12	0.6170486166
13	0.6116818933
14	0.6073186404
15	0.6022235529
16	0.598395917
17	0.5950933066
18	0.5906079277
19	0.5857531308
20	0.5812914877
21	0.5766099719
22	0.5724508122
23	0.568972744
24	0.565391897
25	0.5614487928
26	0.5576507454
27	0.5545277029
28	0.5508244519
29	0.5477725615
30	0.5448018837
31	0.5421625246
32	0.5384966369
33	0.5350164973
34	0.5316613976
35	0.5282820795
36	0.5250267692
37	0.5220951879
38	0.5187802162
39	0.5165163386
40	0.5137654934
41	0.5106312442
42	0.5084423344
43	0.5059081412
44	0.5031297026
45	0.5004711147
46	0.4981847783
47	0.4964332327
48	0.4943562745
49	0.4920471202
50	0.4899297904
51	0.4878478667
52	0.4861056885
53	0.4837676107
54	0.482078628
55	0.4804314415
56	0.4784294361
57	0.4770300059
58	0.4754777903
59	0.4737502553
60	0.4720712437
61	0.4707901106
62	0.4691020856
63	0.4675038011
64	0.4657931598
65	0.464153228
66	0.4627221325
67	0.4612374966
68	0.4598494241
69	0.4580031547
70	0.4563048532
71	0.4547231461
72	0.4531224098
73	0.4519640778
74	0.4508043267
75	0.4494967881
76	0.4483297942
77	0.447023392
78	0.4460495546
79	0.4448110067
80	0.443484814
81	0.4423140541
82	0.4412134666
83	0.4398020821
84	0.4387074624
85	0.4379686657
86	0.4368108192
87	0.4356557654
88	0.4344868984
89	0.4337336253
90	0.432662234
91	0.4317136474
92	0.4309014265
93	0.4297591253
94	0.4288870829
95	0.4277960138
96	0.4271393094
97	0.426359178
98	0.42563557
99	0.4247497153
100	0.4240285926
101	0.4230320899
102	0.4224449561
103	0.4216370405
104	0.4210453032
105	0.4202082527
106	0.4194157335
107	0.4186263234
108	0.4177431708
109	0.417105125
110	0.4163840365
111	0.4156921337
112	0.4149599224
113	0.4142768022
114	0.4138008579
115	0.4128520586
116	0.4123097331
117	0.4115407092
118	0.4111623765
119	0.4105857203
120	0.4102511981
121	0.4094259325
122	0.4087767908
123	0.4080053793
124	0.407520677
125	0.4070069975
126	0.4064161658
127	0.4061255822
128	0.4058980379
129	0.4054810473
130	0.4049938419
131	0.4045526404
132	0.4042082662
133	0.4035449253
134	0.4031086545
135	0.4024609155
136	0.4018800175
137	0.4014343764
138	0.401169071
139	0.4005882857
140	0.4001204857
141	0.3993798065
142	0.3987896507
143	0.398198194
144	0.3980309492
145	0.3976176736
146	0.3972857341
147	0.3969785965
148	0.3964805104
149	0.3962302437
150	0.395951018
151	0.3956748652
152	0.3952426764
153	0.394893473
154	0.3946145026
155	0.3943637978
156	0.3942334274
157	0.3937708551
158	0.393461395
159	0.3931077018
160	0.3927949555
161	0.3925232368
162	0.3919217748
163	0.3914827658
164	0.3912919638
165	0.3909378418
166	0.3906324381
167	0.3903438068
168	0.3902367447
169	0.3897647141
170	0.3895560211
171	0.3890604492
172	0.3885147779
173	0.3882203083
174	0.3879480301
175	0.387738462
176	0.3876383318
177	0.3875767847
178	0.3871465423
179	0.3868375234
180	0.3865129645
181	0.3861212661
182	0.3859761259
183	0.3856440648
184	0.3854895689
185	0.3851480953
186	0.3848521837
187	0.3845594454
188	0.3842801376
